Subject,Trial,Response,Condition,Hit,FA,Sex,CtryCode,Country,UniqSub,LaughFile,LangCode,EngFluency,MM,MM_Eng,Education,GenderSeg,CommScale,EconMode
208,2,1,1,1,0,1,1,Singapore,1208,C2 P1 3,1,5,5,4,3,1,5,4
208,3,1,1,1,0,1,1,Singapore,1208,C2 P2 6,1,5,5,4,3,1,5,4
208,4,0,1,0,0,1,1,Singapore,1208,C23 P2 3,1,5,5,4,3,1,5,4
208,5,1,1,1,0,1,1,Singapore,1208,C28 P1 1,1,5,5,4,3,1,5,4
208,6,0,1,0,0,1,1,Singapore,1208,C29 P1 9,1,5,5,4,3,1,5,4
208,7,1,1,1,0,1,1,Singapore,1208,C29 P2 10,1,5,5,4,3,1,5,4
208,8,1,1,1,0,1,1,Singapore,1208,C3 P1 11,1,5,5,4,3,1,5,4
208,9,1,1,1,0,1,1,Singapore,1208,C3 P2 21,1,5,5,4,3,1,5,4
208,10,1,1,1,0,1,1,Singapore,1208,C33 P2 3,1,5,5,4,3,1,5,4
208,11,1,1,1,0,1,1,Singapore,1208,C34 P2 6,1,5,5,4,3,1,5,4
208,12,1,1,1,0,1,1,Singapore,1208,C39 P1 17,1,5,5,4,3,1,5,4
208,13,0,1,0,0,1,1,Singapore,1208,C39 P2 10,1,5,5,4,3,1,5,4
208,14,1,1,1,0,1,1,Singapore,1208,C4 P1 16,1,5,5,4,3,1,5,4
208,15,1,1,1,0,1,1,Singapore,1208,C4 P2 9,1,5,5,4,3,1,5,4
208,16,1,1,1,0,1,1,Singapore,1208,C5 P2 5,1,5,5,4,3,1,5,4
208,17,1,1,1,0,1,1,Singapore,1208,C6 P2 10,1,5,5,4,3,1,5,4
208,18,0,1,0,0,1,1,Singapore,1208,C8 P1 29,1,5,5,4,3,1,5,4
208,19,1,0,0,1,1,1,Singapore,1208,L396-1,1,5,5,4,3,1,5,4
208,20,1,0,0,1,1,1,Singapore,1208,L402-2,1,5,5,4,3,1,5,4
208,21,0,0,1,0,1,1,Singapore,1208,L405-2,1,5,5,4,3,1,5,4
